Hash,Size,Stripped,N_Symbols,Complexity,cpu_type,file_type
e5aa6ea79cf2432944dfccdda972c122,1677588.0,True,221.0,11.0,x86_64,application/x-mach-binary
356036fa6dbd3df286d439c3711287a1,5587444.0,True,123.0,0.0,x86_64,application/x-mach-binary
d5ff8e31c8cb7ed2e1a0fe62ba20df56,27080.0,True,47.0,2.0,x86_32,application/x-mach-binary
612efdbf1e1d8e195074b1c3bef17cef,202272.0,True,204.0,1.0,x86_64,application/x-mach-binary
90f08100dafa9db5df8030492c2276f9,621432.0,True,419.0,34.0,x86_64,application/x-mach-binary
39c4dd0358d0f5c0ee712491a8be88b6,33200.0,True,17.0,6.0,x86_64,application/x-mach-binary
dc1a447d26be39e67c3be1f9fff31838,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
46210e30b1cca21c0cfd0c87380f0528,11625760.0,True,511.0,2.0,x86_64,application/x-mach-binary
4f4ac18ea9b820dd8e0c80712778d976,351456.0,False,100.0,8.0,x86_64,application/x-mach-binary
204b08317bda65a1aa092d5c17145ec0,1171444.0,True,285.0,141.0,x86_64,application/x-mach-binary
a949ecfd981f2c8a982a8074a5c93d5c,6377156.0,True,97.0,0.0,x86_64,application/x-mach-binary
1ff3d93754de771132b68d3a89de2ac6,229664.0,False,156.0,4.0,x86_64 arm_64,application/x-mach-binary
fe3ea0c2a51fed472f42860f896cceb9,737016.0,True,335.0,59.0,x86_64,application/x-mach-binary
7c2a38bc867e55242e06af70e2cbdd8d,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
585c14cb5541b93775f7e1679726d674,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
bbb319709b0fdeef96b710b5c1d77e55,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
548bca3e6339308c3d7bcccaf7ddc05f,188112.0,True,0.0,1.0,arm_64,application/x-mach-binary
5f006c6d256749d319ae8aeac3a7cc43,1943396.0,False,249.0,2.0,x86_64,application/x-mach-binary
08b63cbd5891cf4b7dbaabe5098ad857,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
411ded099bafe35e9c786b34e500e590,1580512.0,True,382.0,37.0,x86_64,application/x-mach-binary
02bead62243c7d69cc9c2f1d24e1e13e,2938048.0,False,665.0,1.0,x86_64 arm_64,application/x-mach-binary
114ac2f80b31cb3b1657be6b3d26d8c8,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
392d86ed31190931081c9d8a30627362,49152.0,True,81.0,2.0,ppc_32 x86_32,application/x-mach-binary
70a2700a323703041f45bfdb87777be7,52144.0,True,3.0,1.0,x86_64,application/x-mach-binary
04e2915b42846937b8be275010bb7613,2014272.0,True,111.0,0.0,arm_64,application/x-mach-binary
e04850f7653aad151a5d7993bc648d1d,167296.0,True,259.0,110.0,x86_64,application/x-mach-binary
