Command,Count,% Over total
/Users/maria/Desktop/3884160eb6539014a0baf87a456c603a03b7f75712e61cf28054f9b99343,1,0.00%
/Users/maria/Desktop/961225c1a8b7ef60ada3d9bf54304c7412ea054575d68df6c632419933fb,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.PedPtPWr/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/lw8Wvzfq1w,1,0.00%
/Users/maria/Desktop/OXU49BbhAp,1,0.00%
/Users/maria/Desktop/b11c142907f22dd1100f1a5d2a84c50c818434347657808aee2bc843618c,1,0.00%
/Users/maria/Desktop/z60lps6zwj,1,0.00%
/Users/maria/Desktop/073f73815256e0e644674261dd05cb32b62b1959acbd76cf4fa6cb154976,1,0.00%
/Users/maria/Desktop/c243295be1f445a0b8da73d9106aa0a48017e4896c34e05cd8b9a6c5f576,1,0.00%
/Users/maria/Desktop/929884bed31cc8454b7e6b49534d2a916f058757b1da2d033b2897a3130a,1,0.00%
/Users/maria/Desktop/8e0a45debbb300374b362cf54e505245a6051c389baa22b0fd6d5de90055,1,0.00%
/Users/maria/Desktop/GyUXJ8uSu9,1,0.00%
/Users/maria/Desktop/4be33b5c6cba788ed0357507723eccd216f9c15de43878fa7f154474bdaf,1,0.00%
/Users/maria/Desktop/6ed1f18fb1ce64dc7156506e61b651e0fad8e9ae8edd043dc86aef93fec1,1,0.00%
/Users/maria/Desktop/7bd86f73bd67e613a7b80a8809e3386c3fe9da87bc30ac54cfa0e4945e6b,1,0.00%
/Users/maria/Desktop/3d49fe1205be3db94d2bdc517c21d4c6d543f797406fbde7d2b40b0fb82b,1,0.00%
/Users/maria/Desktop/aKciYNkq96,1,0.00%
/Users/maria/Desktop/vfIVbccO6r,1,0.00%
/Users/maria/Desktop/slhCvNZnMU,1,0.00%
/Users/user1/Desktop/xmrig-proxy,1,0.00%
/Users/user1/Desktop/5e414ac87648d28601dcbef9611adb383e2eba1e1970fb4b0252fdd3b822,1,0.00%
/Users/maria/Desktop/658aaaad1ce56fbeb0d4121472b1ad55f0560d1844fc37c0f9ad9e538a3d,1,0.00%
/Users/bruno/Desktop/Notion-App,1,0.00%
/Users/maria/Desktop/eN8T9AsbVp,1,0.00%
/Users/maria/Desktop/reIKMavmMm,1,0.00%
/Users/maria/Desktop/d5ymaSHtT6,1,0.00%
/Users/maria/Desktop/bww5QuR1Og,1,0.00%
/Users/maria/Desktop/a97c0627537b234bf5787b0da7469be485dffd0d3349929b59a1a869573d,1,0.00%
/Users/maria/Desktop/9b40ee68d7276ef244d939c40cc790b89a8ed85416c709e8829b4e0904c8,1,0.00%
/Users/maria/Desktop/txUXguMHf6.virus,1,0.00%
/Users/maria/Desktop/1256TkA2gt,1,0.00%
/Users/maria/Desktop/DinEW3Q21i,1,0.00%
/Users/maria/Desktop/Ilsmsn6Ra7,1,0.00%
/Users/maria/Desktop/Ladon64.mac,1,0.00%
/Users/user1/Desktop/CK9mJPkgaF,1,0.00%
/Users/user1/Desktop/216b89842cd74cee000e279d2e9ecfa61792e282d6a2fab5416e669b75a8,1,0.00%
/Users/maria/Desktop/3683462de6a85b87a5efcb8279d4afd56f44f1e65a14197483e9e466d7f7,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.dNWg569G/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/bruno/Desktop/Notion322universal,1,0.00%
/Users/maria/Desktop/Notion322universal,1,0.00%
/Users/maria/Desktop/de3b36979fc7e7ff32f6b1cf9bf8f148f6d94c88718f0ec889ad2ebf023e,1,0.00%
/Users/maria/Desktop/IC6BT1qgqC,1,0.00%
/Users/maria/Desktop/WaGCroe7Ci,1,0.00%
/Users/maria/Desktop/u1TjRpZMsf,1,0.00%
/Users/maria/Desktop/Yn9PHhJzjZ,1,0.00%
/Users/maria/Desktop/unpacked,1,0.00%
/Users/user1/Desktop/9a30fce861283893211dd4bfaf000691eadb4fb57ed0483be5a57bef5de3,1,0.00%
/Users/maria/Desktop/vMIeuQfpTB,1,0.00%
/Users/maria/Desktop/ldKXcFZUMe,1,0.00%
/Users/maria/Desktop/09c75a424dab6b2c1c72679a57cef9440cab73c2efdf6b277f0e96.dylib,1,0.00%
/Users/bruno/Desktop/[Ferrero_Rocher]_Contract_from_YouTube,1,0.00%
/Users/maria/Desktop/[Ferrero_Rocher]_Contract_from_YouTube,1,0.00%
/Users/maria/Desktop/1026281a8cd876c7323834dc34a2b5b6151686333c1950453d378602bc72,1,0.00%
/Users/maria/Desktop/dhfnWdlkuG,1,0.00%
/Users/maria/Desktop/8fnkzADm0M,1,0.00%
/Users/maria/Desktop/608539341.txt,1,0.00%
/Users/maria/Desktop/b7e74df20207fec5d8a56b498c1cb20e19445939156d47e3d357d7e3a6a0,1,0.00%
/Users/maria/Desktop/726tABXk8Z,1,0.00%
/Users/maria/Desktop/N7VBpG2UJp,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.DAIvYIOb/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/user1/Desktop/1d6f11b5149d93d610de52e5f1b99c2ab2029186abce7d994ef3c709e043,1,0.00%
/Users/maria/Desktop/SCG1uRTcKZ,1,0.00%
/Users/user1/Desktop/09c9dcacf8958e02865cb71dbdb0382a616fe2b9ecc1af91144ecef9dec1,1,0.00%
/Users/maria/Desktop/5e9e079b90b4c72304d35105208eab713a6e2eef1831da7cec5bafdc5185,1,0.00%
/Users/maria/Desktop/BI0qIeVm54,1,0.00%
/Users/maria/Desktop/lEUnKneXse,1,0.00%
/Users/maria/Desktop/rxevrzhf,1,0.00%
/Users/bruno/Desktop/Notion,1,0.00%
/Users/maria/Desktop/17356fab911a6ad7fa417b764b4c56f6f94917ca9ed81402b1b022b92e24,1,0.00%
/Users/maria/Desktop/kMfUIBCrWP,1,0.00%
/Users/maria/Desktop/2d81ab07240c4346956d03e0e877d02c1c512ea2c1a477c4fae2_0.macho,1,0.00%
/Users/maria/Desktop/PrpQPlWxr6,1,0.00%
/Users/maria/Desktop/3922f5b2f8d542d8f9df0544f421b37bfa4bc9f5acf95ce99b01a0e853e9,1,0.00%
/Users/maria/Desktop/5rPZsN8AuZ,1,0.00%
/Users/maria/Desktop/XVLiX4MFxZ,1,0.00%
/Users/maria/Desktop/9z0nV8pUGs,1,0.00%
/Users/maria/Desktop/73693ca3f49cbce690f702064f4a0d12b2f12b789972d7aa3e06de11fabe,1,0.00%
/Users/maria/Desktop/Installer_v1.11,1,0.00%
/Users/maria/Desktop/51Qjje52x9,1,0.00%
/Users/maria/Desktop/22210099e41b0f64216e7a2978959e71665ffe0c762eba9f63bed962dacc,1,0.00%
/Users/maria/Desktop/DevMg6pBXk,1,0.00%
/Users/maria/Desktop/80ed95ed06f64f389f17615204ed5136d858c610c091d43091d413a22232,1,0.00%
/Users/maria/Desktop/6a57020eaa73e075a08ef5ed6b2601d4e3dbbc75264f6a84ed2c374166e3,1,0.00%
/Users/maria/Desktop/skCmyP2k2r,1,0.00%
/Users/maria/Desktop/o0e1YEfEau,1,0.00%
/Users/maria/Desktop/hbqYv5mcfj,1,0.00%
/Users/user1/Desktop/c2dec329f24cf5b266668a36c5faf34d3c81c6a4ac36a642ca73dfff9dd3,1,0.00%
/Users/maria/Desktop/954f6252d68b0eb72667722c63fb2950b05d84a1a2aaedc001bb027bd930,1,0.00%
/Users/user1/Desktop/covid,1,0.00%
/Users/maria/Desktop/crypterium,1,0.00%
/Users/maria/Desktop/nl1WHZmKF6,1,0.00%
/Users/maria/Desktop/oL8TQswMSr,1,0.00%
/Users/maria/Desktop/YN088HIZqI,1,0.00%
/Users/maria/Desktop/mmaTAR7puV,1,0.00%
/Users/maria/Desktop/3vukfGbD1Z,1,0.00%
/Users/maria/Desktop/c1bc90b7a065983b9676522cb392f0eee567b827db8cfe61537081e4dec9,1,0.00%
/Users/maria/Desktop/UJXQsEQd0M,1,0.00%
/Users/maria/Resources/9752150004,1,0.00%
/Users/maria/Desktop/babf33b637bad4ed9fe49e08ea43bd14e69efd873633299be5bd47f4ec17,1,0.00%
/Users/maria/Desktop/9b05311086150e64f7e61fee46fc705719e80989d0dcdb9bcba665773ba5,1,0.00%
/Users/maria/Desktop/ie8ohag6Rx,1,0.00%
/Users/maria/Desktop/zzN3nBbTds,1,0.00%
/Users/maria/Desktop/nxxd9124lc,1,0.00%
/Users/maria/Desktop/195ec67f7608ff228b9e19aa0c73ade045d9cdd066437d849e0faff3b7c9,1,0.00%
/Users/maria/Desktop/0a178ddbd9febb29afc59c97e80d4488d58f26fc3a34692a11df35ebc630,1,0.00%
/Users/maria/Desktop/WbpfXLEQ8R,1,0.00%
/Users/maria/Desktop/rc5nRs4bKL,1,0.00%
/Users/maria/Desktop/GF96cNX5jn,1,0.00%
/Users/maria/Desktop/WindowServer,1,0.00%
/Users/user1/Desktop/ce747b2e75222b7442d8c21da90620adecde7bbe666fa5458e693ba5a308,1,0.00%
/Users/maria/Desktop/7f681061acea8dc2d0255a15a138b6b74ff32c518cf0bbeffccdb916b9b7,1,0.00%
/Users/user1/.6FOOaz23/.vG7AVJ5i,1,0.00%
/Users/maria/Desktop/22575a3fe0e254ebd6303a6e081388c46881ffece404be20e71d18131bc1,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.k5lnvjGC/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/d8ec555973cd813dd49ff2ffbc36c734af04f0c922c99c65fec6ae0a7f16,1,0.00%
/Users/maria/Desktop/a07310a37499f757265013c351cffc49463a90fc19533355efee59b35b31,1,0.00%
/Users/maria/Desktop/282eeff12f238a0890118b674719a350ddfecfb3c59cea7b496db4b92934,1,0.00%
/Users/maria/Desktop/9AhGAazTFG,1,0.00%
/Users/maria/Desktop/4xnIjG6sH8,1,0.00%
/Users/maria/Desktop/vwovxgt2,1,0.00%
/Users/maria/Desktop/.BC.T_bBbr1E,1,0.00%
/Users/maria/Desktop/y5UEIaTGTy,1,0.00%
/Users/maria/Desktop/daea9216f5ae20280ec9300b3960b50c0fb9ac0b43b1e8be489ea0652151,1,0.00%
/Users/maria/Desktop/aq5ShSzYTH,1,0.00%
/Users/maria/Desktop/DJlJGtncwh,1,0.00%
/Users/maria/Desktop/dzezzx8swi,1,0.00%
/Users/maria/Desktop/27c116104f11d51089c6317245c539f85c48a54bf0dd53048644f2c03ee3,1,0.00%
/Users/bruno/Desktop/installMacOS_1.3,1,0.00%
/Users/maria/Desktop/tF8EsJv048,1,0.00%
/Users/maria/Desktop/Mf2Vzl9b5C,1,0.00%
/Users/maria/Desktop/0d00b4f54f888a69e49aa661df3b67d429cb8d23ac533f2b71a52f12ed7c,1,0.00%
/Users/maria/Desktop/0JsrMalc3b,1,0.00%
/Users/maria/Desktop/tuWK8ZN8ng,1,0.00%
/Users/maria/Desktop/trAl8G8wG6,1,0.00%
/Users/maria/Desktop/85jXRTSd6D,1,0.00%
/Users/maria/Desktop/28bb3944fdca9163af2e290d5b64580aca2313de8ee6f7684200_0.macho,1,0.00%
/Users/maria/Desktop/simple_loader1,1,0.00%
/Users/user1/Desktop/yPWGQDYKhB,1,0.00%
/Users/user1/Desktop/Iz3uT1nSxX,1,0.00%
/Users/user1/Desktop/WsxOfwGecS,1,0.00%
/Users/maria/Desktop/65e514d052867fc9b6c6a067903c0037f43e02fa43b427036bb830759e3b,1,0.00%
/Users/maria/Desktop/PLtZ7s7BQp,1,0.00%
/Users/maria/Desktop/847b49e1ece5dbc00011b1c2d8f498ecde0c3720e46ba708cdd5d7dbb6de,1,0.00%
/Users/maria/Desktop/Bv2i8uP31J,1,0.00%
/Users/maria/Desktop/b9fa814acb58adbd99df0506ccb27dc7c5381c25d4a2029a5e84ec78a23a,1,0.00%
/Users/maria/Desktop/eiZjg7X2pS,1,0.00%
/Users/maria/Desktop/34e3b76d09868f71edeec9969e95e2bd68271fc4d28ddca8fba328043001,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.u5DDQGiv/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/CFk3OG2tKX,1,0.00%
/Users/user1/Desktop/ZZg1FJiQYq,1,0.00%
/Users/maria/Resources/9736455328,1,0.00%
/Users/maria/Desktop/2qimd7bq2w,1,0.00%
/Users/maria/Desktop/0MQUpfyp3e,1,0.00%
/Users/maria/Desktop/etIlKRKP9T,1,0.00%
/Users/maria/Desktop/lfnk47FJK9,1,0.00%
/Users/user1/Desktop/9a2a65eb85a4b9e0ca0436872473b50642187e9f19f40df67c3001e89e77,1,0.00%
/Users/bruno/Desktop/629360419.txt,1,0.00%
/Users/maria/Desktop/f2bfc7d10acba7f6b97231bc5ecddab9b0e59e44fb62d01624ae808ab544,1,0.00%
/Users/maria/Desktop/SUo6TdmB0x,1,0.00%
//bin/sh,1,0.00%
/Users/maria/Desktop/EHX5pg2nEU,1,0.00%
/Users/maria/Desktop/installMacOS_1.3,1,0.00%
/Users/maria/Desktop/2d55db62b6cf5b7927095a04863ce137c6939680e932a80265db5ec40361,1,0.00%
/Users/bruno/Desktop/rabby-wallet-desktop-installer-x64-latest,1,0.00%
/Users/maria/Desktop/oqkMQx77gY,1,0.00%
/Users/maria/Desktop/26c91db9b376c8758ebd72a09c8181c843fb14a5b0e2b55199749ec6b1a7,1,0.00%
/Users/maria/Desktop/f1602e9eff83ddd2e1368b17ed9774d881086f3d8d037c18f8de3cad06a5,1,0.00%
/Users/maria/Desktop/5pww0CTERR,1,0.00%
/Users/maria/Desktop/7fwtpLVl3V,1,0.00%
/Users/maria/Desktop/rabby-wallet-desktop-installer-x64-latest,1,0.00%
/Users/maria/Desktop/fhWHVbGIj3,1,0.00%
/Users/maria/Desktop/150a10e2d7fc5e1ba8b537bc787f2f4b153796cd81843dabfb31000cfa4b,1,0.00%
/Users/maria/Desktop/6e3da6efbfc50de51aba56f0e314191aab01b53554b3170d65752424d5af,1,0.00%
/private/tmp/xlxms.osx,1,0.00%
/Users/maria/Desktop/d3dca9f796140fce47dbb6585f68886be9324eef798eeef7c1b65e9cf635,1,0.00%
/Users/user1/Desktop/d0c61b71316b299d1d415d867e0eb7608e8f3d5c3356a206b437b006457f,1,0.00%
/Users/maria/Desktop/SNZBv1BmGT,1,0.00%
/Users/maria/Desktop/lyfVT4hkAZ,1,0.00%
/Users/maria/Desktop/x5iQ90BYFF,1,0.00%
/Users/maria/Desktop/YGa2NqHJXI,1,0.00%
/Users/maria/Desktop/a264e2e91ae5d141675d74ad473ae6fbe19b83bc83665b1e9c7f240a69f6,1,0.00%
/Users/maria/Desktop/1852b65ede253946da95731f93a0322584f16ceafac25a71b66422c0a15a,1,0.00%
/Users/maria/Desktop/hermes1,1,0.00%
/Users/maria/Desktop/YZnCd60sqc,1,0.00%
/Users/maria/Desktop/8syKRTHs2u,1,0.00%
/Users/maria/Desktop/01338747de29c2b3d26a454a93631059bb228b8eb6430f6851919decf944,1,0.00%
/Users/maria/Desktop/ytBfJZpAZn,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.GWyyOpfT/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/fka8aB7Wr0,1,0.00%
/Users/maria/Desktop/dexb4zjd,1,0.00%
/Users/maria/Desktop/zjxkrcdf,1,0.00%
/Users/maria/Desktop/3a9e3d04e8be439cc8c4d138e73502aa72b744573dea7710bf87906903ae,1,0.00%
/Users/maria/Desktop/n72Ysmig98,1,0.00%
/Users/maria/Desktop/Tp7htxzkvD,1,0.00%
/Users/maria/Desktop/70e208d0532070b5dc3309a6a373ce00f34f3962ba50d63d0ada61461690,1,0.00%
/Users/maria/Desktop/613703239.txt,1,0.00%
/Users/maria/Desktop/oOBgW2OJq7,1,0.00%
/Users/maria/Desktop/28fc2b8792a9b8bb9203863f196d0ff1b490e62a3323353bd7a3_0.macho,1,0.00%
/Users/maria/Desktop/HdNpZ2cOrL,1,0.00%
/Users/maria/Desktop/r14HwQ48az,1,0.00%
/Users/maria/Desktop/2b9e9faea06b7c7e9595198bc40dd8bc9b6b5eb21c9705ceb30707efc531,1,0.00%
/Users/maria/Desktop/pprpmG2gS4,1,0.00%
/Users/user1/Desktop/y2JzipMa6u,1,0.00%
/Users/user1/Desktop/nuOLrtZwD8,1,0.00%
/Users/maria/Desktop/j8UF45Ld44,1,0.00%
/Users/user1/Desktop/bitcoin-wallet,1,0.00%
/Users/maria/Desktop/958bf1f97a63fa4f54de86824baf3aa83ded1bf410dd8ba5ca2d359bc76e,1,0.00%
/Users/maria/Desktop/sVqyWmn1IB,1,0.00%
/Users/maria/Desktop/7ca8b812e9e9a3b6711e0200c80883780b59a3c258c8a3c0d73a29.macho,1,0.00%
/Users/maria/Desktop/dbfbdab17ca5ac005dbc578ede2ac35bc8c486026faf380430756ba4cb81,1,0.00%
/Users/maria/Desktop/PdfWriter,1,0.00%
/Users/maria/Desktop/usoKww9J9f,1,0.00%
/Users/maria/Desktop/FHp2SUP3s6,1,0.00%
/Users/maria/Desktop/3961b7f4498dc0365b4847fadc1f712d25d9dbb18f340a42e2e50345ca07,1,0.00%
/Users/maria/Desktop/WRONG_BURGLAR,1,0.00%
/Users/maria/Desktop/Apple_App_v2_23,1,0.00%
/Users/maria/Desktop/bQFSmD1GU2,1,0.00%
/Users/maria/Desktop/0f2e7bc56a82355f8aba1fe8b02d78f1e390dc0187efe4903e69790ae693,1,0.00%
/Users/maria/Desktop/4iV09anVBz,1,0.00%
/Users/maria/Desktop/t27XJHt0rz,1,0.00%
/Users/maria/Desktop/14d8YApLIL,1,0.00%
/Users/maria/Desktop/i43hqahGS1,1,0.00%
/Users/maria/Desktop/hPot3gaFg1,1,0.00%
/Users/maria/Desktop/nPLFLT1EYL,1,0.00%
/Users/maria/Desktop/V8TIO5Uo2q,1,0.00%
/Users/bruno/Desktop/201ff25ed8574e16589cd8980aadc804c0a408ec63bc109b7340879c182d,1,0.00%
/Users/maria/Desktop/201ff25ed8574e16589cd8980aadc804c0a408ec63bc109b7340879c182d,1,0.00%
/Users/maria/Desktop/b19bfe6fd5e678c2f36ca0163657824b2fd7f1585a1b96dc1ce5f83806ec,1,0.00%
/Users/maria/Desktop/e7JQ59QiMC,1,0.00%
/Users/maria/Desktop/3E6z1wQvhg,1,0.00%
/Users/user1/Desktop/5974c3f222b39cfe7a347767f9043b17b177d845be0bdb8fb0be91e8b29e,1,0.00%
sh -c open,1,0.00%
/Users/maria/Desktop/nQ7Dv09jWj,1,0.00%
/Users/user1/Desktop/wssposeidon8080,1,0.00%
/Users/maria/Desktop/h4A4us10sl,1,0.00%
/Users/maria/Desktop/WXivwb5g25,1,0.00%
/Users/maria/Desktop/5fcfcefc4522d0a68da727c40c102d787b1379a931082578d729f9523926,1,0.00%
/Users/maria/Desktop/t97iTL8I7L,1,0.00%
/Users/maria/Desktop/fa0be364bf381917a5cdab8155518d3f21469294bb66440e0d5bf85f29f8,1,0.00%
/Users/maria/Desktop/98814a4fc94f807186b8f342abc2a4fba1c7ec9102e97c5a3b864f87c553,1,0.00%
/Users/maria/Desktop/gvqy27xe,1,0.00%
/Users/maria/Desktop/CyVCi0LjUu,1,0.00%
/Users/maria/Desktop/58e7882cd9308f34c7aa673f36f216368c2cc250273185d338b60ebec14b,1,0.00%
/Users/maria/Desktop/96b4a3fd44775a72513ee274389ec4ae2a098b2ebd9ef70ccd592e93a700,1,0.00%
/Users/user1/Desktop/f6da204dda985a494e9f10d3779e2f44a82b2042bc26246e9b05ac921bb9,1,0.00%
/Users/maria/Desktop/bAplUujA6O,1,0.00%
/Users/maria/Desktop/9641f95ce278eaf33c8db24d7005b11dd274be859e56c1ece396d15b36bf,1,0.00%
/Users/maria/Desktop/S0KF6b2vfm,1,0.00%
/Users/maria/Desktop/fClqAMPVFi,1,0.00%
/Users/maria/Desktop/bc4b73a2d56bab16bf1f90fe09930367ca30747a2e96755693bd_0.macho,1,0.00%
/Users/maria/Desktop/0Y4effxs63,1,0.00%
/Users/maria/Desktop/WtT7C4fP5a,1,0.00%
/Users/bruno/Desktop/Apple_App_v1_24,1,0.00%
/Users/maria/Desktop/Apple_App_v1_24,1,0.00%
/Users/maria/Desktop/5e6a2af5059171c9e6c76e80ca301809903b16ef75484034bb15aa42772c,1,0.00%
/Users/bruno/Desktop/LoomApp,1,0.00%
/Users/maria/Desktop/LoomApp,1,0.00%
/Users/user1/Desktop/spectre_macos,1,0.00%
/Users/maria/Desktop/zu6Z4unIlz,1,0.00%
/Users/user1/Desktop/1a0871f2e68259d22c33559703004f3e8bf200e891d0d21a1ca60e39abf6,1,0.00%
/Users/maria/Desktop/9thGrShoih,1,0.00%
/Users/maria/Desktop/.BC.T_F4pYdn,1,0.00%
/Users/user1/Desktop/unknown,1,0.00%
/Users/maria/Desktop/Yer64peYQb,1,0.00%
/Users/maria/Desktop/e8f07f8007a40c58919f3d39cdcddb8b89e1a9de8d8ea0cff13ff37fcdcc,1,0.00%
/Users/user1/Desktop/App_darwin,1,0.00%
/Users/maria/Desktop/d40996ec010b66d7a83132b34b296e16ffe8c85d1a4c26d539d9923d396d,1,0.00%
/Users/maria/Desktop/_4938897457631241429,1,0.00%
/Users/maria/Desktop/nhrZCCRT0c,1,0.00%
/Users/maria/Desktop/d0758037c561d0bde91c09556cb67dca9c4af90e051097e0cd83290030cf,1,0.00%
/Users/maria/Desktop/cbf35777eb0d780ab90b4a612864148aa7d411038f148b73c9ac6feea36b,1,0.00%
/Users/maria/Desktop/GotoHTTP,1,0.00%
/Users/maria/Desktop/4e1839e90a89bbe97d6b9879dfb090411158b7c6e01282034fe99b5b7630,1,0.00%
/Users/maria/Desktop/51a51fb71410ad0f95284998799396a23f1fa1d481791095bfb54683e00c,1,0.00%
/Users/maria/Desktop/RVPO6c9mn4,1,0.00%
/Users/maria/Desktop/dustFighter,1,0.00%
/Users/maria/Desktop/eAk8tP3ivG,1,0.00%
/Users/bruno/Desktop/dustFighter,1,0.00%
/Users/maria/Desktop/4e2TnH1VEB,1,0.00%
/Users/maria/Desktop/plugin,1,0.00%
/Users/maria/Desktop/8dd2336254ae416a0a5bf4f5dafa9ba416a56147087c9294f0646141fd64,1,0.00%
/Users/maria/Desktop/90e3c096789c639891d1763651bdfb6215194caa8d1e4a39e2963635a404,1,0.00%
/Users/maria/Desktop/3cb1380a5f168c8df0ee23492411c94e337ac3b032e5a3cf95a5466b7daf,1,0.00%
/Users/maria/Desktop/D3O4uM7nII,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/633A5648-F4A3-4AA8-9BF1-A616ABCADB3E,1,0.00%
sh -c /var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/633A5648-F4A3-4AA8-9BF1-A616ABCADB3E,1,0.00%
/Users/maria/Desktop/627634545.txt,1,0.00%
/Users/maria/Desktop/ZEo8t6KN3s,1,0.00%
/Users/user1/Desktop/11a553b9d9861f2828b2744f270358def83f7d7b0bfdb6e6d6fbce9d4a34,1,0.00%
/Users/maria/Desktop/0b86e716bd8a5bcf169fb05e7163de7746171bed8af22fa62dc87403d35d,1,0.00%
/Users/user1/Desktop/wifianalyticsagent,1,0.00%
/Users/maria/Desktop/f1e9f024ca76dabf6b1f28274b50cfb86c7e5724f6afb4577e78f306d2c2,1,0.00%
/Users/maria/Desktop/aWFybQ,1,0.00%
/Users/maria/Desktop/2PL55YXpAD,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.DXF2Trv2/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/991cae04f9bc3b30cb216cbffd98029aa5eec7e346090f0056a4fcf3ff67,1,0.00%
/Users/maria/Desktop/7734c3005ab50df9f43f6ed1783030b60ad9a1cd1e5d962a4c050cce471e,1,0.00%
/Users/maria/Desktop/631976543.txt,1,0.00%
/Users/maria/Desktop/Vwm74TXYwW,1,0.00%
/Users/maria/Desktop/St1mymFwCb,1,0.00%
/Users/user1/Desktop/V8yCpZjpJE,1,0.00%
/Users/maria/Desktop/8d1e6954398a7a572ad6507698988ecc91eecf3c72c1d5bfb034f21b21a2,1,0.00%
/Users/maria/Desktop/40be734ce65c61a67ceb2e3723e669f9988e17f1c426d88188a89f274748,1,0.00%
/Users/maria/Desktop/q4Pdn92D3N,1,0.00%
/Users/maria/Desktop/JrjjGR4b2t,1,0.00%
/Users/maria/Desktop/MLq01E35n0,1,0.00%
/Users/maria/Desktop/y2OoabxyBB,1,0.00%
/Users/maria/Desktop/e49314195191b720b5520c818db6f383c258aeff8970ef3702c52feb0515,1,0.00%
/Users/maria/Desktop/3yb8JfaaIb,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.Zqb37jga/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/PackageSetup,1,0.00%
/tmp/KzI2A,1,0.00%
/Users/maria/Desktop/2VlayBA2AT,1,0.00%
/Users/maria/Desktop/nOjDBXHVuH,1,0.00%
/Users/user1/Desktop/tTHQ9nAIFc,1,0.00%
/Users/maria/Desktop/robube6j,1,0.00%
/Users/maria/Desktop/52f7312435023beb1c155d31fa8cd03cab2e3a18621e70ddca1260d4d2e6,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.gjwN9u4W/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/T8ZedrhP5Y,1,0.00%
/Users/maria/Desktop/2MhsNGaypI,1,0.00%
/Users/maria/Desktop/uiw4VS0Wk6,1,0.00%
/Users/maria/Desktop/9HRyJ73yjf,1,0.00%
/Users/user1/Desktop/Installer,1,0.00%
/Users/user1/Desktop/8PPWDxPctM,1,0.00%
/Users/maria/Desktop/GENEROUS_CATBEAR,1,0.00%
/Users/maria/Desktop/zebdqq,1,0.00%
/Users/maria/Desktop/kKASKYIeoU,1,0.00%
/Users/user1/Desktop/135739f26d6f88ca3d001f4b0d762a8ea0f9cc0c6911c70c43c564b11308,1,0.00%
/Users/maria/Desktop/0aae052ec68f31e37243fce7e3578c9435bd43581c13d3fb63c19796aac7,1,0.00%
/Users/maria/Desktop/1788d7918a0c8b492c3bd62f079b66ad4e97cc925fe1ccb4be67a7ba95f0,1,0.00%
/Users/maria/Desktop/Alexandreid,1,0.00%
/Users/user1/Desktop/719a35723c4e2c3988cd2ee40ae03ae2b7b52bed20d6e040f442b4d38e78,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.wKhgJHOb/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/5U7yJLoqV0,1,0.00%
/Users/maria/Desktop/70d1430a6e2b0f3503400e0e6d6107e7eb5663691fbbc6b45f128c748f22,1,0.00%
/Users/maria/Desktop/Mw0cdS74D3,1,0.00%
/Users/maria/Desktop/s49MYNBj8G,1,0.00%
/Users/maria/Desktop/1qEQQhXEeT,1,0.00%
/Users/maria/Desktop/ZyaILDQQCz,1,0.00%
/Users/maria/Desktop/629592991.txt,1,0.00%
/Users/user1/Desktop/574513415.txt,1,0.00%
/Users/maria/Desktop/U7UL9nW9yx,1,0.00%
/Users/maria/Desktop/b6HtNOXcf5,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.yBkPLyz4/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/Skim's_PDF,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.FJOjZqMm/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/AIv8lVG2eS,1,0.00%
