Command,Count,% Over total
/usr/bin/xattr,5,0.02%
"MS,",5,0.02%
/Users/test/Desktop/AppleApp,5,0.02%
nohup,5,0.02%
pbpaste,5,0.02%
sh -c unzip,5,0.02%
/Users/maria/Desktop/NotionSetup,5,0.02%
/Users/maria/Desktop/Requirements,4,0.02%
/Users/user1/Desktop/app_assistant,4,0.02%
plutil,4,0.02%
/var/tmp/exe,4,0.02%
/Users/test/Desktop/tool,4,0.02%
/Users/maria/Desktop/mac-os-x-installer,4,0.02%
/Users/maria/Desktop/installMacOS,4,0.02%
XHTML,4,0.02%
xxd,4,0.02%
kAgent,4,0.02%
/Users/maria/Desktop/BattleForge,4,0.02%
sh -c whoami,4,0.02%
/bin/mv,4,0.02%
/Users/maria/Desktop/surfaceheatdiffuse,4,0.02%
/Users/maria/Desktop/PartyLauncher,4,0.02%
/Users/maria/Desktop/upd,4,0.02%
/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/N/Support/mdworker_local,4,0.02%
/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/N/Support/mdworker_watchd,4,0.02%
/Users/bruno/Desktop/AppleApps,4,0.02%
sh -c ps,4,0.02%
/Users/maria/Desktop/monerod,4,0.02%
who,4,0.02%
/Users/bruno/Desktop/whiskey,4,0.02%
/Users/maria/Desktop/vera,4,0.02%
/Users/maria/Desktop/whiskey,4,0.02%
/Volumes/Adobe*/Adobe,4,0.02%
openssl,4,0.02%
/Users/maria/Desktop/palera1n-macos-universal,4,0.02%
/private/tmp/.mmstmp//mm-install-macos.app/Contents/MacOS/mm-install-macos,4,0.02%
/Users/maria/Desktop/Apple_App_v2_24,4,0.02%
/Users/maria/Desktop/frpc_darwin_amd64,4,0.02%
/Users/maria/Desktop/update,4,0.02%
/usr/bin/sudo,4,0.02%
networksetup,4,0.02%
/Users/maria/Desktop/VortaxSetup,4,0.02%
/Users/maria/Desktop/OpenVPN,4,0.02%
/Users/maria/Desktop/officialbriefdescription,4,0.02%
/Users/maria/Desktop/Figma,4,0.02%
/Users/bruno/Desktop/Trello,4,0.02%
/usr/sbin/systemstats,4,0.02%
sh -c chflags,4,0.02%
/Users/maria/Desktop/VortaxInstaller,4,0.02%
/Users/root/Library/Fonts/safarifontsagent,4,0.02%
/Users/maria/Desktop/SpectraSetup,4,0.02%
/tmp/exe,3,0.01%
/Users/bruno/Desktop/VisualStudioUpdater_Patch,3,0.01%
/Users/maria/Desktop/SuaWorld,3,0.01%
/Users/maria/Desktop/.fseventsd,3,0.01%
/Users/bruno/Desktop/Majestic,3,0.01%
/Users/maria/Desktop/officialinstaller,3,0.01%
/Users/maria/Desktop/Loom,3,0.01%
/Users/bruno/Desktop/ppi,3,0.01%
/Users/maria/Desktop/ppi,3,0.01%
/Users/user1/Desktop/clash-darwin,3,0.01%
/Users/maria/Desktop/WorldSetup,3,0.01%
/Users/maria/Desktop/Internal,3,0.01%
/Users/bruno/Desktop/Loom,3,0.01%
/Users/user1/Desktop/x86.bin,3,0.01%
/Users/maria/Desktop/client,3,0.01%
/Users/maria/Desktop/SpectraLauncher,3,0.01%
/Applications/Google,3,0.01%
/Users/maria/Desktop/TheUnarchiver,3,0.01%
/Users/maria/Desktop/VisualStudioUpdater_Patch,3,0.01%
