Hash,Avg_Entropy,Packed
af81011638338536309dc31ca6f9c6ef,5.745742149682465,not packed
ad830a5f05612a361b53e8fb0b0d6508,6.270240243713045,not packed
ad785d3f79f8add868b623b28742ccca,6.252873567948337,not packed
ad590d21627df532677a83773b434b0b,3.9840213192925984,not packed
ad32f5df5ba2ef147800faff9fcc737e,4.827202750451063,not packed
a569e632d2b9ce08615e27ee09803f7a,6.2013474106292765,not packed
a518dc0b601a8c95b84a33c031d2bb76,7.144331190598832,packed
a41ba611988acc02708c204e9c6539bc,6.785393437813412,packed
a271e096385734163e00646c9ff644c7,6.689204422110777,packed
a0085387806b518b1b1cff66573eaafd,6.578470018410952,packed
9c22fce542483c73b50cbfac9f29462c,6.688187526701992,packed
9af333c38ca5d1fdf38f1aa01b512c01,6.265385143417748,not packed
9ac6d2fd3a1daf6d9bef059735846e4b,5.894813023888716,not packed
9a5b7f9c547e084a7d55db378888d63e,6.688301628027058,packed
9911b0e043c5a7bd784eaebb7898ad4f,6.688431690921084,packed
98ea09b570178fbde241632e869338bb,6.207537361039455,not packed
98b08037b4f4a44fb86d87ae12099ec5,6.498546313316434,not packed
94e5dc90ddf7b8be6f3ff35269899e71,5.60828123184069,not packed
92b8c1bc9f4f0708b51be06f3bdf947e,6.077871258763794,not packed
92069579060a1fc7ee344a99b8df08a5,6.078623635138551,not packed
91783ca7b99e0d64f29dc3dd375621ee,6.252878198418487,not packed
9066ba3fe5afaade4b0cb3ce5126f3a4,5.974484756144008,not packed
8e526c44a8c2677e6e21c09ffaa25152,7.992828827376869,packed
8c900ad3a72616b1b3420b275f03812b,5.980833068301584,not packed
8c7f2de80a26643efc5528d606a8d751,5.244635703828087,not packed
8b9d33a6f827c7bda1aa7edf513edbf8,6.281983229473017,not packed
8aafef2b08aa9e12fab4e5128f24f5aa,6.118304655701339,not packed
8362cdabe1aad141c51f695e14acb43c,6.369744791210646,not packed
80296e92941e4c0ba5154f5ef7047aca,2.717352186500168,not packed
