Hash,Family,first_submission_date,code_sign,cpu_type
77f70adde63b166cd874d15273215bdd,SINGLETON,2023-06-17,MissingPlist,x86_64
7795d07d31eb283fec6b5f606cad3641,adagent,2018-02-13,,x86_64
94e5dc90ddf7b8be6f3ff35269899e71,amos,2024-08-28,,x86_64
92b8c1bc9f4f0708b51be06f3bdf947e,tuneupmac,2018-11-02,MissingPlist,x86_64
7727e52bc0b78721534775072b124a87,SINGLETON,2015-12-23,Valid,x86_64
92a36f43220dc83a7f6566d726066596,SINGLETON,2023-08-14,MissingPlist,x86_32
76888f7a8d657fc7a7c189d5827f899f,SINGLETON,2024-04-08,,x86_64
92069579060a1fc7ee344a99b8df08a5,tuneupmac,2018-11-02,MissingPlist,x86_64
91783ca7b99e0d64f29dc3dd375621ee,SINGLETON,2024-10-25,,x86_64
9066ba3fe5afaade4b0cb3ce5126f3a4,SINGLETON,2020-05-20,,x86_64
755a089ed356da9405f81927045fdca9,SINGLETON,2024-04-09,,"x86_64, ARM_64"
90019f08efb1c2a9b42474012b4c5696,SINGLETON,2023-08-27,,x86_64
8e9b277e61c77c69501ed24502b406a4,SINGLETON,2024-06-28,,x86_64
8e526c44a8c2677e6e21c09ffaa25152,SINGLETON,2022-12-02,Valid,x86_64
8c900ad3a72616b1b3420b275f03812b,SINGLETON,2020-09-28,NotTrusted,x86_64
72dbfb6d3ac12a031449a01b29e2c805,SINGLETON,2024-04-08,,x86_64
8c7f2de80a26643efc5528d606a8d751,SINGLETON,2019-10-18,,x86_64
8b9d33a6f827c7bda1aa7edf513edbf8,SINGLETON,2023-06-10,MissingPlist,x86_32
705bac49a22b8d635dac694dc0f3e3c4,SINGLETON,2024-05-03,,x86_64
704fd37f2e0a0d624c7430031beaa19f,macremover,2023-08-31,Valid,"x86_64, ARM_64"
8aafef2b08aa9e12fab4e5128f24f5aa,SINGLETON,2023-06-16,MissingPlist,x86_32
6f5426df33c1e30cf5d0e759c166f9cd,puagent,2023-10-24,MissingPlist,ARM_64
8904f05baa675a5ce89ed1ca674220a0,SINGLETON,2017-02-25,,PPC_32
6dd311e9991ebe1318f6d65bc8c8025f,SINGLETON,2024-06-28,,x86_64
6da3c9824e61069125a19506a8ad420f,SINGLETON,2023-06-24,MissingPlist,x86_64
6c8e87b5ddef19bcb3a3de93d8bad527,SINGLETON,2024-08-20,,x86_64
8362cdabe1aad141c51f695e14acb43c,SINGLETON,2022-12-25,MissingPlist,x86_64
81a745da1e4543ae21c85d4e21c5a3a9,SINGLETON,2019-04-11,,x86_64
6acfbd1668f5b816ffb09519a2f24bb7,SINGLETON,2020-09-05,Valid,x86_64
80296e92941e4c0ba5154f5ef7047aca,buhocleaner,2024-03-29,MissingPlist,"x86_64, ARM_64"
7fd4d0e28a4a205cfb99a4c8587b86d0,SINGLETON,2023-01-10,,x86_64
69b16c41f9653e733aa1283e66ef071f,SINGLETON,2023-06-13,MissingPlist,x86_32
7fa870bc23bce3869a926f12e25c0794,SINGLETON,2012-09-21,,ARM_32
684e1ec6de357b34ff86ac5a6680c972,SINGLETON,2024-02-03,,x86_64
7f7d1e324b00da19f0248d21fb5035fd,imobie,2024-07-17,MissingPlist,x86_64
68399920d44cd8f1aad0db74f3a91c5c,SINGLETON,2022-11-05,Valid,x86_64
7b41176a8ef1e76c6e96c6a3413fca34,tuneupmac,2018-04-17,MissingPlist,x86_64
