Library,Count,% Over total
@executable_path/libirecovery.2.dylib,48,0.22%
@executable_path/../Frameworks/Logger.dylib,48,0.22%
@executable_path/../Frameworks/ZipHelper.dylib,48,0.22%
/usr/local/opt/openssl@3/lib/libcrypto.3.dylib,48,0.22%
@executable_path/../Frameworks/SqliteManager.dylib,48,0.22%
/usr/local/opt/openssl@1.1/lib/libssl.1.1.dylib,48,0.22%
@executable_path/../Frameworks/BackupManager.dylib,48,0.22%
@executable_path/../Frameworks/libssl.1.1.dylib,47,0.21%
@rpath/QtQml.framework/Versions/5/QtQml,47,0.21%
@rpath/QtQuick.framework/Versions/5/QtQuick,47,0.21%
@rpath/LDWebImage.framework/Versions/A/LDWebImage,46,0.21%
@rpath/QtSvg.framework/Versions/5/QtSvg,46,0.21%
@executable_path/../Frameworks/libgmp.10.dylib,46,0.21%
/usr/lib/swift/libswiftos.dylib,46,0.21%
@executable_path/libgomp.1.dylib,46,0.21%
@rpath/QtSql.framework/Versions/5/QtSql,46,0.21%
@rpath/AppAuth.framework/Versions/A/AppAuth,45,0.20%
@rpath/QtXml.framework/Versions/5/QtXml,45,0.20%
/usr/local/opt/openssl@3/lib/libssl.3.dylib,44,0.20%
/usr/local/opt/boost/lib/libboost_system.dylib,44,0.20%
@rpath/Paddle.framework/Versions/A/Paddle,44,0.20%
@rpath/pled.dylib,44,0.20%
/usr/local/opt/openssl/lib/libssl.1.0.0.dylib,43,0.19%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_chrono-mt.dylib,42,0.19%
/usr/local/opt/boost/lib/libboost_atomic-mt.dylib,42,0.19%
/usr/lib/libcompression.dylib,41,0.19%
@rpath/libiCloudClient.dylib,40,0.18%
/usr/local/opt/libevent/lib/libevent-2.1.7.dylib,40,0.18%
@rpath/CrackPasswordTools.dylib,40,0.18%
/usr/local/opt/miniupnpc/lib/libminiupnpc.17.dylib,40,0.18%
/System/Library/Frameworks/AudioUnit.framework/Versions/A/AudioUnit,40,0.18%
@executable_path/../Frameworks/liblog4cppMac.dylib,40,0.18%
/System/Library/Frameworks/Foundation.framework/Foundation,39,0.18%
@rpath/SwiftyJSON.framework/Versions/A/SwiftyJSON,39,0.18%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_program_options-mt.dylib,39,0.18%
@rpath/YYModel.framework/Versions/A/YYModel,38,0.17%
/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation,38,0.17%
@rpath/libMFControl.dylib,38,0.17%
@rpath/libMFFoundation.dylib,38,0.17%
/System/Library/Frameworks/ExceptionHandling.framework/Versions/A/ExceptionHandling,37,0.17%
/usr/lib/libcups.2.dylib,37,0.17%
/opt/homebrew/opt/pcre/lib/libpcre.1.dylib,37,0.17%
@loader_path/libzip.5.dylib,36,0.16%
@executable_path/../Frameworks/libdiskreader-api.dylib,36,0.16%
@rpath/MASShortcut.framework/Versions/A/MASShortcut,35,0.16%
@executable_path/../Frameworks/libzip.5.dylib,34,0.15%
@executable_path/libstdc++.6.dylib,34,0.15%
@executable_path/libgcc_s.1.dylib,34,0.15%
@rpath/plu.dylib,34,0.15%
@executable_path/../Frameworks/libc++.1.dylib,34,0.15%
/usr/local/lib/libaircrack-osdep-1.7.0.dylib,34,0.15%
@@HOMEBREW_PREFIX@@/opt/openssl@3/lib/libcrypto.3.dylib,34,0.15%
/usr/local/opt/libevent/lib/libevent_pthreads-2.1.7.dylib,33,0.15%
/usr/lib/libarchive.2.dylib,33,0.15%
/usr/lib/swift/libswiftCoreMedia.dylib,33,0.15%
@@HOMEBREW_PREFIX@@/opt/zeromq/lib/libzmq.5.dylib,33,0.15%
@loader_path/libbass.dylib,33,0.15%
/System/Library/Frameworks/GSS.framework/Versions/A/GSS,33,0.15%
@rpath/../Frameworks/libogg.0.dylib,32,0.15%
@rpath/../Frameworks/libopus.0.dylib,32,0.15%
@rpath/../Frameworks/libopenjp2.2.3.1.dylib,32,0.15%
@rpath/../Frameworks/liblzma.5.dylib,32,0.15%
@rpath/../Frameworks/libmp3lame.0.dylib,32,0.15%
@rpath/../Frameworks/libtheoradec.1.dylib,32,0.15%
@rpath/../Frameworks/libjpeg.9.dylib,32,0.15%
@rpath/../Frameworks/libSDL2-2.0.0.dylib,32,0.15%
@rpath/../Frameworks/libde265.0.dylib,32,0.15%
@rpath/../Frameworks/libpng16.16.dylib,32,0.15%
@rpath/../Frameworks/libheif.1.dylib,32,0.15%
@rpath/../Frameworks/libtheoraenc.1.dylib,32,0.15%
@rpath/../Frameworks/libvorbisenc.2.dylib,32,0.15%
@rpath/../Frameworks/libx265.176.dylib,32,0.15%
@executable_path/liblibimobiledevice2.dylib,32,0.15%
@@HOMEBREW_PREFIX@@/opt/openssl@3/lib/libssl.3.dylib,32,0.15%
@rpath/../Frameworks/libx264.155.dylib,32,0.15%
@rpath/../Frameworks/libvorbis.0.dylib,32,0.15%
/usr/local/opt/hwloc/lib/libhwloc.15.dylib,31,0.14%
/System/Library/Frameworks/UIKit.framework/UIKit,31,0.14%
@@HOMEBREW_PREFIX@@/opt/unbound/lib/libunbound.8.dylib,31,0.14%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_system-mt.dylib,31,0.14%
